cod_dpt;cod_publicacion;title;description;format;url
CURIAPO;130;CROQUIS DE LAS COMUNIDADES INDIGENA ; CROQUIS DE LAS COMUNIDADES INDIGENA SAN RAFAEL;pdf;https://drive.google.com/file/d/1aBdfleVDuh9P55y-EZHUnoF6cWyggYXs/view?usp=drive_link
PADRE BARAL;131;CROQUIS DE LAS COMUNIDADES INDIGENA ; CROQUIS DE LAS COMUNIDADES INDIGENA BOCA COJINA;pdf;https://drive.google.com/file/d/1U2sozOeVGA7eIbqU6hVV1o28JByiF7Fs/view?usp=drive_link
PADRE BARAL;132;CROQUIS DE LAS COMUNIDADES INDIGENA ; CROQUIS DE LAS COMUNIDADES INDIGENA JOBURE II;pdf;https://drive.google.com/file/d/1dBBm9BzbTQF_YgwPlUmy2iHg5DHHo54b/view?usp=drive_link
PADRE BARAL;133;CROQUIS DE LAS COMUNIDADES INDIGENA ; CROQUIS DE LAS COMUNIDADES INDIGENA LA MORA;pdf;https://drive.google.com/file/d/1BSVGg3wFICp3ETws7Az7-JtHCiPpXBqi/view?usp=drive_link
PADRE BARAL;134;CROQUIS DE LAS COMUNIDADES INDIGENA ; CROQUIS DE LAS COMUNIDADES INDIGENA  JANAMANA;pdf;https://drive.google.com/file/d/1xpRgaj-9hWPGCxBO6xMDXrbPM2xg3s9q/view?usp=drive_link
PADRE BARAL;135;CROQUIS DE LAS COMUNIDADES INDIGENA ; CROQUIS DE LAS COMUNIDADES INDIGENA  JOBURE I;pdf;https://drive.google.com/file/d/1kT0wHnHtkUGvNRlKzWUi8MmSlrHoX1DV/view?usp=drive_link
PADRE BARAL;136;CROQUIS DE LAS COMUNIDADES INDIGENA ; CROQUIS DE LAS COMUNIDADES INDIGENA  DEJENEINA;pdf;https://drive.google.com/file/d/12J8J-pdxHbaY_8ljxznOj7cuoO6ByNdU/view?usp=drive_link
PADRE BARAL;137;CROQUIS DE LAS COMUNIDADES INDIGENA ; CROQUIS DE LAS COMUNIDADES INDIGENA  MEREJINA;pdf;https://drive.google.com/file/d/1YqknjPq02U5KvsNqgmzvj8lnOJCPKPha/view?usp=drive_link
PADRE BARAL;138;CROQUIS DE LAS COMUNIDADES INDIGENA ; CROQUIS DE LAS COMUNIDADES INDIGENA  KAIWIRE;pdf;https://drive.google.com/file/d/1T-mRFPQnMIxpeXwtw7sj20HxwhoELgzn/view?usp=drive_link
PADRE BARAL;139;CROQUIS DE LAS COMUNIDADES INDIGENA ; CROQUIS DE LAS COMUNIDADES INDIGENA  MAJIKA DE MEREJINA;pdf;https://drive.google.com/file/d/1jSn2XE1ceLy3wAtfXNrlZWvyMTtzP7EU/view?usp=drive_link
PADRE BARAL;140;CROQUIS DE LAS COMUNIDADES INDIGENA ; CROQUIS DE LAS COMUNIDADES INDIGENA  MUSEREINA DE COJINA;pdf;https://drive.google.com/file/d/1QIxnvo9OP1gJUFG6F7QlZtFmOIMBea4N/view?usp=drive_link
PADRE BARAL;141;CROQUIS DE LAS COMUNIDADES INDIGENA ; CROQUIS DE LAS COMUNIDADES INDIGENA  KUAMUJO;pdf;https://drive.google.com/file/d/1iuTz6PDcymXfCufEEgxJeK__jghSifVf/view?usp=drive_link
